loss_epoch,train_losses,valid_losses
0,1.6332682021141052,0.7140414123237133
1,0.7726667522112528,0.5820302645862102
2,0.6605269886652628,0.4928240494430065
3,0.5975693958282471,0.44583781018853186
4,0.5498931235949198,0.40017889469861984
5,0.5094091514587402,0.36154498435556887
6,0.47805363330841066,0.3384390363842249
7,0.4540713477452596,0.31244568459689614
8,0.43558732201258343,0.3035652456432581
9,0.4209171083768209,0.2899324230849743
10,0.4085636296749115,0.2856682752072811
11,0.3978352365175883,0.2771899368613958
12,0.38864480698903403,0.2854741998016834
13,0.3806481582482656,0.27021365739405157
14,0.37337492888768514,0.2544022036343813
